"","MEblack","MEfloralwhite","MEorange","MEsienna3","MEdarkturquoise","MElightcyan1","MEpaleturquoise","MEdarkmagenta","MEwhite","MElightcyan","MEplum1","MEcyan","MEroyalblue","MEgreenyellow","MEgrey60","MEdarkolivegreen","MEpurple","MEyellowgreen","MEpink","MEskyblue","MEdarkgreen","MEivory","MElightsteelblue1","MEskyblue3","MEgrey"
"SRR12330767",-0.0757067231494711,0.100793914037312,-0.0127290465395702,-0.0933610868095073,0.0664518288996157,-0.0335239953104378,-0.0434329857532714,-0.08999588466595,0.00895279866982099,-0.0618140729603056,-0.010585121824834,-0.0397144105677147,-0.21250498462608,0.0270268502872586,0.14797049079022,0.106530010398011,0.0116995888551545,0.0171853046323662,0.0484559255529659,0.0836595329463202,-0.0250932165354608,-0.0135402187171501,-0.0144873532735148,-0.0242849475444946,0.021595249101446
"SRR12330768",-0.0771830432652913,0.0925075111566063,-0.0158705955232645,-0.092629882436371,0.0667746450455249,-0.0339287957627453,-0.0416845211740733,-0.0882281283621839,0.0155988982868988,-0.0622451887955402,-0.0116842838328723,-0.0434020123122947,-0.200259664975771,0.0306454076064965,0.131416720137323,0.100295148737374,0.012762381095681,0.0310958481740775,0.0558953574588343,0.0852854390281019,-0.0265522026890089,-0.0117842691205762,-0.0179521005181333,-0.0257364081286592,0.0119333145631827
"SRR7811358",-0.111207908650373,-0.0343395724174218,-0.0377462239963497,-0.0384004685480768,-0.00608382749236749,-0.024099741555069,-0.0779932442192999,-0.069225827902561,-0.0663891498326356,0.154452472113516,0.190058559675365,0.00312129053933315,0.0183053921538771,0.0355100483607446,0.00772949919428557,-0.0410736320096075,-0.0293353963629233,0.0449084839562308,0.0753611647235415,0.0898623840207674,-0.0045619018612442,-0.00604423786164144,-0.00333173044541679,-0.00798871723996468,0.00041966433424641
"SRR7811359",-0.113524769516677,-0.001002451668753,-0.0380683567838004,-0.0505725233443977,0.00568670081295578,-0.0258590476014298,-0.0754152276016022,-0.0785707868625549,-0.0563797390641262,0.124730510755765,0.20447305896473,-0.00817655029790833,0.0260259572154872,0.0311726139670913,0.00867864692725948,-0.0252408583367365,-0.0222623114205513,0.0131902484366316,0.0612711879267552,0.0992419708521554,-0.00981042123769832,-0.00959505771305363,-0.0135896657047681,-0.0133953947796625,-0.0101530888656041
"SRR7811360",-0.12318291052262,-0.0126087368603277,-0.0232610839139916,-0.0415144684578338,0.00878780046244288,0.00232195734858007,-0.0982176779936643,-0.0779760181990268,-0.0440098765131529,0.117111042927908,0.0927086397002728,-0.0096833019771504,-0.00744419505633182,0.0532689713075446,0.0480850805740758,0.0140561781854586,0.0161689290369148,0.0516019691023598,0.0702088490566561,0.093946740657496,-0.0152260506883412,-0.00927237676959767,-0.0128268977200779,-0.0164924509478309,-0.00967163744500728
"SRR7811361",-0.119280300170625,-0.0498006234864695,-0.0439622733367693,-0.0362283583048209,-0.00618259923494828,-0.0135080266730871,-0.0871961119158896,-0.0744181508328647,-0.0657941565759547,0.155516237769071,0.184221259656152,0.00462526651083555,0.0506006344910832,0.021596513318896,-0.0122186600451598,-0.0476223177449762,-0.0437778395411906,0.00960208225419579,0.0541099499727245,0.0827642719282803,-0.00563467094245356,-0.00687453994650975,-0.00732341641312192,-0.00759370029502227,-0.0128539753049199
"SRR7811362",-0.123154766274176,-0.0284433162356661,-0.0402404220167399,-0.0270792451410416,-0.00265979394375052,-0.00704756888591764,-0.0942649670307294,-0.0728539106262089,-0.0580332675767395,0.166095868179293,0.197709132817966,0.0173464466983828,0.0313827738744274,0.0376651812577322,0.00801433680564948,-0.0285551731168382,-0.0259136571057356,0.0318529333672617,0.0601906763395304,0.0919987302375185,0.0030442768693141,0.00128195490036982,-0.003061362888586,-0.00713709807992636,0.0131851439392396
"SRR7811363",-0.101824800568236,0.033463864395966,-0.0285610017819052,-0.0468897158266307,0.00638993575077317,-0.0613533147622317,-0.0598104545776384,-0.0554213060211325,-0.0593567593577301,0.0951662114045422,0.199690571272038,-0.0218374245717921,-0.00407903344840281,0.0295765213552096,-0.0620931793275789,-0.0330135119902646,0.0152503825908436,0.0629236406559212,0.0921150955503923,0.118172381355334,-0.00839953271226642,-0.00500890425918972,-0.00892908366477361,-0.00623404952300898,0.00576109570936648
"SRR7811364",0.0646681830633308,0.0527749862739623,-0.00800975520156302,-0.0273980038072966,-0.00654452322723978,-0.0280704931320833,0.0746176188763844,-0.00847251915026517,-0.0228064317219724,-0.029812480435241,-0.0241441752602161,-0.0176312550233395,-0.026584411890917,-0.0329647095688232,0.000161354519536096,-0.0741187044057792,-0.0311322576158934,0.044119143693469,-0.0257872800569058,-0.0374255456198589,-0.0255552267295511,-0.0150294938252138,-0.0203212456622644,-0.0258137084022801,0.00499734740770909
"SRR7811365",-0.105806718467696,0.0719090731860295,-0.0273505721362059,-0.0389669173036616,0.00836378825694345,-0.0554941072954753,-0.0651090299613385,-0.0666778722572268,-0.0540893536525647,0.0844649909446424,0.167370569729506,-0.020613524017741,0.00585617805366292,0.0377616147116353,-0.0594915321731811,-0.0235971789083037,0.0126222976461597,0.0624631606226416,0.0859643192081943,0.118980178674479,-0.0182946416212064,-0.00997387264416317,-0.0190368779659432,-0.0102325410729405,-0.0256884453266449
