target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT5G48340.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48340.3,7.0,28.0,13.3664,55.1983,8.7438,0.0,26.3664,9.36639,35.3664,70.8489,19.0,99.1157,2.0,24.7328,37.0,37.3719,3.0,11.0387,211.733,11.0,164.463,5.36639,77.832,4.0,5.36639,31.0,86.8595,152.744,1.0,0.0,15.4656,0.140896,41.7328,63.6033,19.0,77.0845,18.7328,25.7328,3.0,16.7328,0.0,1.3719,49.0,86.1157,44.4656,40.0,2.0,24.7328,35.3664
AT5G48340.4,0.0,0.0,5.63361,33.8017,11.2562,0.0,5.63361,5.63361,5.63361,21.1511,0.0,16.8843,0.0,11.2672,0.0,5.6281,0.0,0.0,11.2672,0.0,67.5372,5.63361,28.168,0.0,5.63361,0.0,28.1405,1.29054,0.0,0.0,22.5344,16.8591,11.2672,39.3967,0.0,0.0,11.2672,11.2672,0.0,11.2672,14.0,5.6281,0.0,16.8843,22.5344,0.0,0.0,11.2672,5.63361
AT5G48350.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
AT5G48360.1,1.0,8.0,8.0,19.0,19.0,0.0,2.0,6.0,9.0,48.0,12.0,30.0,8.0,14.0,23.0,23.0,1.0,0.0,49.0,1.0,78.0,4.0,60.0,0.0,1.0,5.0,24.0,44.0,0.0,0.0,17.0,6.0,22.0,26.0,3.0,29.0,4.0,12.0,0.0,21.0,1.0,4.0,16.0,33.0,6.0,9.0,1.0,9.0,7.0
AT5G48370.1,8.0,13.0,0.0,36.0,23.0,0.0,10.0,0.0,10.0,36.0,7.0,42.0,0.0,17.0,15.0,22.0,0.0,0.0,60.9231,4.0,105.0,15.0,21.0,0.0,0.0,0.0,36.0,54.0,0.0,0.0,0.0,6.0,25.0,38.0,0.0,35.0,6.0,14.8969,2.0,10.0,10.0,6.0,20.0,56.0,35.0,15.0,2.0,0.0,25.0
AT5G48370.2,0.0,4.71777e-06,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,40.0769,0.0,0.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,0.0,0.0,0.103113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
AT5G48370.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48375.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48380.1,138.0,420.0,138.0,1129.0,691.0,4.0,417.0,215.0,570.0,901.0,356.0,1813.0,124.0,381.0,300.0,602.0,36.0,144.0,2141.0,147.0,2758.0,371.0,745.0,47.0,77.0,167.0,1128.0,1352.0,4.0,11.0,351.0,181.0,637.0,957.0,180.0,1199.0,367.0,320.0,86.0,432.0,186.0,121.0,473.0,1200.0,1020.0,366.0,13.0,413.0,531.0
