ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
173;SRR3124990;Plasmodiophora brassicae 2;17;control;paired;202;control - root;protist biotroph;biotroph;root
174;SRR3124992;Plasmodiophora brassicae 2;20;control;paired;202;control - root;protist biotroph;biotroph;root
175;SRR3124994;Plasmodiophora brassicae 2;24;control;paired;202;control - root;protist biotroph;biotroph;root
176;SRR3124997;Plasmodiophora brassicae 2;17;control;paired;202;control - root;protist biotroph;biotroph;root
177;SRR3124998;Plasmodiophora brassicae 2;20;control;paired;202;control - root;protist biotroph;biotroph;root
178;SRR3125002;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
179;SRR3125004;Plasmodiophora brassicae 2;24;control;paired;202;control - root;protist biotroph;biotroph;root
180;SRR3125005;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
181;SRR30310344;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
182;SRR30310345;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
183;SRR30310346;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
184;SRR30310347;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
185;SRR30310348;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
186;SRR30310349;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
187;SRR30310350;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
188;SRR30310351;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
189;SRR30310352;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
190;SRR30310353;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
191;SRR30310354;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
192;SRR30310355;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
193;SRR30310356;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
194;SRR30310357;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
195;SRR30310358;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
196;SRR30310359;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
197;SRR30310360;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;viral biotroph;biotroph;full aerial
198;SRR30310361;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
199;SRR30310362;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
200;SRR30310363;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
201;SRR30310364;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
