Run;Experiment;Timepoint (dpi);infected/control;single/paired;avgSpotLen;infection;infected/control.num
SRR30310358;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310359;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310360;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310361;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310362;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310363;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310364;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310365;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310366;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310367;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310368;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310369;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310370;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR24657655;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;1
SRR24657656;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;1
SRR24657657;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;1
SRR24657658;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;1
SRR24657659;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;1
SRR24657669;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;1
SRR24657680;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;1
SRR24657691;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;1
SRR24657702;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;1
SRR24657703;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;1
ERR7738942;Turnip yellows virus (TuYV);14;infected;paired;150;infected;1
ERR7738943;Turnip yellows virus (TuYV);14;infected;paired;150;infected;1
ERR7738944;Turnip yellows virus (TuYV);14;infected;paired;150;infected;1
SRR30606508;Botrytis cinerea;0,5;infected;paired;300;infected;1
SRR30606509;Botrytis cinerea;0,25;infected;paired;300;infected;1
SRR30606510;Botrytis cinerea;0,25;infected;paired;300;infected;1
SRR30606511;Botrytis cinerea;0,25;infected;paired;300;infected;1
SRR30606517;Botrytis cinerea;4;infected;paired;300;infected;1
SRR30606518;Botrytis cinerea;4;infected;paired;300;infected;1
SRR30606519;Botrytis cinerea;4;infected;paired;300;infected;1
SRR30606520;Botrytis cinerea;3;infected;paired;300;infected;1
SRR30606521;Botrytis cinerea;0;control;paired;300;control;0
SRR30606522;Botrytis cinerea;3;infected;paired;300;infected;1
SRR30606523;Botrytis cinerea;3;infected;paired;300;infected;1
SRR30606524;Botrytis cinerea;2;infected;paired;300;infected;1
