"","MEpink","MEturquoise","MEgreenyellow","MEpaleturquoise","MEdarkred","MEmagenta","MEskyblue","MEdarkolivegreen","MEdarkturquoise","MEdarkgreen","MEcyan","MEgreen","MEblue","MEdarkorange","MEsaddlebrown","MEblack","MEwhite","MEgrey"
"SRR8689388",-0.149851252990474,-0.0582075142366757,-0.129159890747813,-0.0739197019445651,-0.0276650579707391,-0.0186039817193074,-0.0409805037797822,-0.0195070427106065,-0.0227449148230628,-0.0111711186353221,-0.0154824994452633,-0.0135151235565013,0.0104915105135063,-0.0317486192177616,-0.0828110374352759,0.0982542164246645,0.0183490030517576,-0.013368770287006
"SRR8689401",-0.0248915610749529,-0.0386021397101847,-0.117679432893489,-0.0950267355243496,-0.0826444317093961,-0.00681653087304539,-0.0387242574067662,-0.0157804759018318,-0.0167660602168484,-0.0379341000450123,-0.0115404334689591,-0.0179039207261072,0.0695841536559481,-0.0257726734150401,0.0470184259755208,-0.0447756441197766,-0.00474330634429602,-0.00859142685725903
"SRR8689406",-0.0583869629801509,-0.0485285253232656,-0.16324240690625,-0.124377173708155,-0.0755282558764542,-0.0118341083140328,-0.0348139347978607,-0.0163112714786355,-0.0170437914136621,0.00642136977061389,-0.0134595588585988,-0.0187893061914927,0.0600037432913927,-0.0125918912173947,0.0138690341641818,-0.0232999555153835,0.0104297914444587,-0.00800534701906066
"SRR8689413",-0.0492532643789214,-0.046441922028822,-0.094615648156573,-0.0832149592545791,-0.0724277971551712,-0.0135277845648924,-0.0237629411429998,-0.0164868067911494,-0.0190779311555874,-0.0336940237106413,-0.0149535148385715,-0.0196402499739456,0.0772442593538579,-0.026005433129465,0.0163591333737334,-0.0493137864201385,-0.0147509803298085,-0.00542663840428744
"SRR8800677",-0.0701234163815106,-0.0555016468107544,0.0117390204787906,0.0916522664218305,0.0141499009233704,-0.0137147545257497,0.119026695249461,-0.0195070427106065,-0.0302756710628388,-0.0695074259929871,-0.0202697960450428,-0.0336772717938999,0.1015564980943,-0.0476820955694082,-0.0559661525746277,-0.115115725426264,-0.165726033383586,-0.013368770287006
"SRR8800678",-0.0760136791212362,-0.0571013271760648,0.0176002297891934,0.0914215460501822,0.0170402188280589,-0.00887024343826369,0.127289769138028,-0.0195070427106065,-0.0282634923086471,-0.0728522742596674,-0.0194555528534008,-0.0354218907126336,0.102924825902622,-0.0490989416486095,-0.0667676471542387,-0.117444789296173,-0.165031683563958,-0.00520960570857918
"SRR8800679",-0.0615911650756525,-0.0491072322586749,0.0152472941639209,0.0910387431915447,0.0213250840926076,-0.00668567836690826,0.123761818428904,-0.018118974401658,-0.0246624007006425,-0.0665153156708238,-0.0168945779639078,-0.0315380857395988,0.0994545213249764,-0.0537915910736957,-0.0459401689357981,-0.110848159461927,-0.160020314227468,-0.00589126427445475
"SRR8800680",-0.0617700476661044,-0.0495948184967594,0.0161227039089264,0.0926715310828203,0.0194071353844472,-0.0032788992620157,0.120596132288302,-0.016227230416804,-0.0236761536324068,-0.066703425756079,-0.0181475485636675,-0.0308901515731992,0.0990599110129976,-0.0508125440604166,-0.0521069444375569,-0.110969734014453,-0.161094399394787,-0.00896448413456956
"SRR8800681",-0.0626241531764935,-0.0503378991114257,0.0141083534051585,0.0914050427571918,0.0226580855715893,-0.0057840352473648,0.120710530311484,-0.0195070427106065,-0.0278574043361688,-0.0674699765558624,-0.0165902505854597,-0.0305620637838686,0.0989375189616211,-0.049610614007089,-0.0462235955733657,-0.111523205438409,-0.159908929463717,-0.00907066099314409
"SRR8800682",-0.0744982992423201,-0.0543727390723095,0.00955027568991105,0.0870911823545452,0.0183011316209989,-0.0152142133281977,0.116134358514207,-0.0195070427106065,-0.0347724314529721,-0.062157614740318,-0.0193511940414596,-0.0336213007066045,0.093711529265655,-0.0482365198044656,-0.0473451727639134,-0.100669062575122,-0.150515669873347,-0.013368770287006
"SRR8800683",-0.0764651885293371,-0.0553881036503869,0.00798989981314619,0.0884211432199818,0.0153704950079234,-0.0134096290770525,0.109714244554595,-0.0195070427106065,-0.0365644090236627,-0.0648078570920911,-0.0195507745216582,-0.0352733741398019,0.0946378205884354,-0.0457229112069548,-0.0641223112605551,-0.102299177798861,-0.150667990859417,-0.013368770287006
"SRR8800684",-0.0694274560526325,-0.0494032243476779,0.00910504443527652,0.0853696015616246,0.0198822244708963,-0.00524922687974428,0.110094756203532,-0.0195070427106065,-0.0305557087028481,-0.0561075454940482,-0.0175795431235762,-0.0292506772464479,0.0917457811182155,-0.0462976131364467,-0.0499539035732923,-0.0978494886076636,-0.146781673195762,-0.0263303718912647
"SRR8800685",-0.0687609449810214,-0.0515747217487858,0.0064151053271555,0.0861183421708385,0.0218779252857087,-0.00610484667907111,0.109794979025423,-0.0195070427106065,-0.0284752507415567,-0.0564068372258945,-0.0190323996322219,-0.0304008376109233,0.0921621201241241,-0.0438011145870486,-0.0523964842915993,-0.0975989256456146,-0.148040980934601,-0.013368770287006
"SRR8800686",-0.0692909934720843,-0.0506331837000429,0.00902955202303888,0.0882888285589173,0.0203325677328609,-0.00398634517684506,0.112790502043019,-0.0195070427106065,-0.0284368542361221,-0.0577476903448519,-0.0168103399257913,-0.0298500595007265,0.091835437180858,-0.0473872491340179,-0.0518648814924027,-0.0972714194694984,-0.146831767282427,-0.013368770287006
"SRR8800687",-0.0914889627375586,-0.0582168832380244,-0.0168874567328991,0.0819283048330326,0.0191495946184239,-0.00714565402594878,0.1153800520289,-0.0195070427106065,-0.0320236589138925,-0.0520685136162293,-0.0196035153072123,-0.0347605258070204,0.0901154393859548,-0.0446230293089752,-0.0655514018681081,-0.0846831720176132,-0.146055221291959,-0.013368770287006
"SRR8800688",-0.0942972189507472,-0.0609303334400572,-0.0216690309243014,0.0815749078013975,0.0277877534804902,-0.0078779067980973,0.11766206219203,-0.0195070427106065,-0.0353541262264033,-0.0540778549844029,-0.0196941556100939,-0.0351053486718949,0.0903565987139445,-0.0490187292822146,-0.0698717700029587,-0.085257442854315,-0.148679793242901,-0.013368770287006
