"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEskyblue","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow"
"SRR8689388",0.105050588655975,0.0113398393480059,0.00961688543941265,-0.0154824994452633,0.0325329391570054,-0.0388869215562917,-0.0195070427106065,-0.0317486192177616,-0.0276650579707391,-0.0200037687942258,-0.0135151235565013,-0.129159890747813,-0.013368770287006,-0.00165589167629275,0.0856597910554352,0.00240574595876852,0.0559146712840705,-0.0186039817193074,-0.0289534957329763,0.054459672083398,-0.0535377131803894,-0.140904172569604,-0.0750181329977658,0.00624572735000292,0.0631637500047314,-0.0828110374352759,0.101337664324729,-0.0409805037797822,-0.187997394667214,0.0507159418287756,-0.0601542090812127,-0.0258313869858708,0.0163902243586028,-0.0418123178493877
"SRR8689401",-0.0174700613088906,0.0663659659615817,-0.0192775456178581,-0.0115404334689591,-0.0468893602703293,-0.032712810770583,-0.0157804759018318,-0.0257726734150401,-0.0826444317093961,-0.0193221334328163,-0.0179039207261072,-0.117679432893489,-0.00859142685725903,-0.0418381402025166,-0.0302157152854095,-0.0177116896628418,-0.0675506345715331,-0.00681653087304539,-0.0227066553611799,-0.0812958302059183,-0.0158684844884773,-0.0314920719833992,-0.104838874470542,0.0747266523198488,-0.0640729687011529,0.0470184259755208,-0.0587334353438848,-0.0387242574067662,0.0258868775724357,0.0277219018369871,-0.0402744644036603,-0.00892094546312873,0.0751689900213352,-0.0223641516418232
"SRR8689406",0.00264212400105803,0.0566847478145819,-0.0122372239030857,-0.0134595588585988,0.00913537211670034,-0.023217434453246,-0.0163112714786355,-0.0125918912173947,-0.0755282558764542,-0.0170917086473014,-0.0187893061914927,-0.16324240690625,-0.00800534701906066,0.0172855329982509,-0.00885892718703576,0.00848064326557244,-0.0603413554770086,-0.0118341083140328,0.00783559618450162,-0.0748724725177744,-0.0469303444382173,-0.0615347540639897,-0.133298342767788,0.0674993668856015,-0.0324423573913115,0.0138690341641818,-0.0391383232638564,-0.0348139347978607,-0.0262325354633265,0.0533526131137437,-0.0497035092340604,-0.0141388217522222,0.091181630861196,-0.0345145522196766
"SRR8689413",-0.0202450541465306,0.0731748763391852,-0.0321448519023316,-0.0149535148385715,-0.0433318691325229,-0.0352559210727691,-0.0164868067911494,-0.026005433129465,-0.0724277971551712,-0.0226961079458935,-0.0196402499739456,-0.094615648156573,-0.00542663840428744,-0.0327527156556768,-0.0388321183471687,-0.0224224134569053,-0.0769892440699994,-0.0135277845648924,-0.0203602958919259,-0.0871443954973674,-0.0123727136034391,-0.0558267304987493,-0.0921118084882244,0.0848189914141366,-0.0707664186009469,0.0163591333737334,-0.0571092904699285,-0.0237629411429998,0.00574836722076439,0.0239344929624582,-0.0491657570544274,-0.00774261000678862,0.0661746258943325,-0.0247248581916726
"SRR8800677",-0.0825155938827482,0.0888824165501811,-0.172353896685709,-0.0202697960450428,-0.113672135831515,-0.0400344351848329,-0.0195070427106065,-0.0476820955694082,0.0141499009233704,-0.0285858151808402,-0.0336772717938999,0.0117390204787906,-0.013368770287006,-0.0844047978434027,-0.146978981017301,-0.133900056941949,-0.122896413884163,-0.0137147545257497,-0.0291815724167377,-0.0981271529093219,0.142859103264393,-0.0763168782295311,0.0805623075815824,0.140275713628124,-0.102135535479832,-0.0559661525746277,-0.108859149843208,0.119026695249461,-0.0151127137505424,-0.145009083007708,-0.0590565753966268,-0.0298000136979792,-0.116351577477423,-0.0289840298421674
"SRR8800678",-0.0823126258777338,0.0895324527326969,-0.170494996621381,-0.0194555528534008,-0.12244810653237,-0.0424128312867753,-0.0195070427106065,-0.0490989416486095,0.0170402188280589,-0.031465141071171,-0.0354218907126336,0.0176002297891934,-0.00520960570857918,-0.0886327955547175,-0.151921097481821,-0.132801715943399,-0.131633821854307,-0.00887024343826369,-0.0284037231881922,-0.105818311313694,0.135855474204913,-0.0826854186695328,0.0814232912550309,0.144667304022645,-0.107931385332653,-0.0667676471542387,-0.107376493321908,0.127289769138028,-0.0161073125853513,-0.144088485951309,-0.060201267112837,-0.0159632788833197,-0.134990600382283,-0.033450497895073
"SRR8800679",-0.0790239988705679,0.0863480782391897,-0.165154247092164,-0.0168945779639078,-0.113216591191277,-0.0358328511856297,-0.018118974401658,-0.0537915910736957,0.0213250840926076,-0.0260489177933563,-0.0315380857395988,0.0152472941639209,-0.00589126427445475,-0.0822410569843458,-0.141419718051092,-0.133200159010536,-0.123731171598196,-0.00668567836690826,-0.0249391730861595,-0.0899074875778074,0.13911135531212,-0.0671105899266899,0.0804919409340631,0.140258309609455,-0.100948217541655,-0.0459401689357981,-0.103766076482125,0.123761818428904,-0.0129282678974759,-0.140298867608557,-0.0519627326904965,-0.0181446716397817,-0.116135674814956,-0.0271473565261743
"SRR8800680",-0.0787989586395176,0.0860959712123368,-0.167049276708796,-0.0181475485636675,-0.111558900077473,-0.031895492937509,-0.016227230416804,-0.0508125440604166,0.0194071353844472,-0.0250623588227823,-0.0308901515731992,0.0161227039089264,-0.00896448413456956,-0.0806029318338915,-0.13785262972122,-0.128545814363199,-0.121398950434376,-0.0032788992620157,-0.0298918813275413,-0.0912548911633046,0.141356869650714,-0.0676878525072147,0.0820026644609927,0.139102588510756,-0.103820469656173,-0.0521069444375569,-0.107124818634129,0.120596132288302,-0.0103526393698727,-0.142620512594621,-0.0525551479739079,-0.017189305328931,-0.11938197098904,-0.0270662111682943
"SRR8800681",-0.0777608591247055,0.0860084712780485,-0.165374205844354,-0.0165902505854597,-0.113314146673466,-0.0330960794355197,-0.0195070427106065,-0.049610614007089,0.0226580855715893,-0.025251223186406,-0.0305620637838686,0.0141083534051585,-0.00907066099314409,-0.083220789246432,-0.139966384751622,-0.131694877896695,-0.128642577322426,-0.0057840352473648,-0.0280660976790644,-0.0964905495484648,0.136494188661872,-0.068210606822041,0.0813711777893494,0.138719578438564,-0.103162810516896,-0.0462235955733657,-0.105122996921342,0.120710530311484,-0.0127674562432126,-0.138139270295561,-0.0532879977763387,-0.0301251278138588,-0.125671844221741,-0.0276270403553107
"SRR8800682",-0.070304191881053,0.081596202866679,-0.158309758505005,-0.0193511940414596,-0.0991247495092699,-0.0367274801755372,-0.0195070427106065,-0.0482365198044656,0.0183011316209989,-0.032443980349444,-0.0336213007066045,0.00955027568991105,-0.013368770287006,-0.0711750462817725,-0.126605514899018,-0.11865283609732,-0.114282623464113,-0.0152142133281977,-0.0304971325601772,-0.0934860168267449,0.12759313536975,-0.0806552662060258,0.0780419742694315,0.130949758721738,-0.0868516612852917,-0.0473451727639134,-0.0968143660902269,0.116134358514207,-0.019877886568906,-0.130579030760531,-0.0571446245695005,-0.0348202789591618,-0.102424634177805,-0.032219932239792
