"","MEgreen","MEviolet","MEblue","MEdarkgreen","MEpurple","MEblack","MEcyan","MElightyellow","MEdarkmagenta","MEskyblue3","MEyellowgreen","MEdarkgrey","MEdarkolivegreen","MEorange","MEdarkorange","MEpink","MEtan","MEyellow","MEgrey60","MEskyblue"
"ERR9604289",-0.0658017663963174,-0.0215011002337247,0.108244289285936,0.108790888066347,0.0586921964028157,-0.0864104803619554,-0.0109366877179218,-0.0509174752464796,-0.00708915541679003,-0.00649776512131344,-0.0108471263355088,-0.00188112548525812,0.0786645070251965,0.0259323359017396,0.041632318003663,-0.0193352981901973,-0.00306437574675676,-0.0117006122261532,-0.0349786151649081,-0.109523789822223
"ERR9604290",-0.0596343555202913,-0.0104547281236449,0.0956054719543539,0.102856159666524,0.0544373979935117,-0.0768939361349041,-0.00901136646291646,-0.0405420122723615,0.00307618958913944,-0.00701317890709523,0.0180955841714537,-0.00133103835713422,0.0751738924074807,0.0314444758426341,0.0492041048223131,-0.00983954569762679,-0.00474618353107814,-0.00912359062361818,-0.0317398181377929,-0.0974884303502316
"ERR9604291",-0.0612673935910763,-0.0181797004492484,0.100700502020783,0.105715302943906,0.0275283743433562,-0.0825392829667695,-0.0102680111066237,-0.0443846462324077,-0.00205391349708117,-0.0145646704848249,0.00181913312012823,0.00147326848226654,0.0780876333566818,0.0578130798403404,0.0512704247508618,-0.021150325422858,-0.00617021930626432,-0.0107880587415594,-0.0354878013587327,-0.103331255019842
"ERR9604294",-0.0689219540977239,-0.0267364965440486,0.125372883725554,0.117596589702402,0.0401073579490791,-0.112735166698983,-0.0313606538380957,-0.067764238408535,-0.0116211213507256,0.000320567486644248,-0.0385265750132123,0.0111930904077983,0.084601228777164,0.0529118813711904,0.0520726439561154,-0.0278371359959895,-0.00570254138351703,-0.0165083490131644,-0.0590081176670613,-0.134470052182792
"ERR9604296",-0.0816423960404571,-0.0371614837596619,0.119906639825832,0.0968147554873696,0.0346942342437537,-0.0805315299335758,0.00368792037531093,-0.0529008339614218,-0.0108410328975317,-0.00903048394340353,-0.0480787018101377,-0.00132930284675577,0.0586395009793586,0.0303538369202912,0.042468942995177,-0.0221912989251872,-0.00529736773189152,-0.0151468557553297,-0.0261321822450583,-0.100268806276746
"ERR9604297",-0.0865672174605562,-0.0428815112718286,0.118924341016948,0.08958476364621,0.0620325674044679,-0.0713025026505605,0.0133185380254004,-0.0506200155865053,-0.00803056875522256,-0.0145832047403069,-0.0488797509142271,-0.00569349090986648,0.0512355847053561,-0.00606156375130707,0.0312324405863877,-0.0156134719353595,-0.00233254521231318,-0.0149630025003158,-0.0160946755412286,-0.0947986129915332
"ERR9604298",-0.0851087741701194,-0.0429484280088854,0.119765567739154,0.0958703353467663,0.0306178927879463,-0.0741828452548901,0.00838683326669491,-0.0532400396191463,-0.00808435844257657,-0.00938219230589393,-0.0443067847048702,-0.00736678435621446,0.0527974034020118,0.0304764388667787,0.0407845875549157,-0.0191722206827567,-0.00280984256747682,-0.016342282312321,-0.018522627904622,-0.0926400349847556
"ERR9604338",-0.0677051530249723,-0.0301854677336848,0.121303118887523,0.101734334104272,0.048772141704357,-0.104665701980058,-0.0237916302487079,-0.0621378157668538,-0.0193238404679151,-0.00498134229265188,-0.042333599574526,0.00919216255939601,0.0715180951949044,0.00996412033242807,0.0341254169543432,-0.0267344447749001,-0.00586875436879847,-0.0172458032315236,-0.0620115650948945,-0.137597957077921
"ERR9604342",-0.0617690623785917,-0.0170914954615805,0.113515902251831,0.106428051522148,0.0803879055215158,-0.107769504683912,-0.025703082877265,-0.053106003846085,8.37401106061347e-06,-0.00888553483464967,-0.0152558259380342,0.0185488281216484,0.0767459317362018,-0.0150965868338732,0.0430098663708524,-0.0210243697586125,-0.00700619613422801,-0.0161490676670896,-0.0607095557334423,-0.139098117807137
"ERR9604343",-0.0555399007789404,-0.0166436210504153,0.106716189737078,0.105598400658453,0.045494941279542,-0.103446611451369,-0.02719939663063,-0.0487080829916138,-0.00491827768382047,-0.00761738601026334,-0.00652224916945401,0.0111788148887687,0.0746012139468748,0.0182853265647552,0.0452232071737763,-0.023662637390442,-0.00566483078112949,-0.0153700733151084,-0.0604310132446731,-0.133258813443373
