"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"SRR8689388",0.103079739644873,-0.0581776259846254,-0.0542626038825127,-0.00692139109721734,-0.0387411022981949,-0.016126757897459,-0.0454731105891329,-0.0940200013224404,-0.0341601452758657,0.0487896570963872,-0.0355387374248155,-0.0359909463230495,0.0696610420072408,0.0240145161284056,-0.0235865243739588,-0.126962445870606,-0.141572215283402,0.00788518852273249,-0.04361795144984,-0.0817464841302568,-0.0175353473934416,-0.0192933100242629,0.00051106640738046,-0.135686123677656,-0.0197556135070796,-0.0205490731008201,-0.01308169526944,0.0740273980364055,-0.0341761933504615,0.102264687335258,-0.0275536033278405,-0.117098128100408,-0.144105373375921,-0.0217441470615853,0.048737727479281,0.0143016048713915,-0.0369763243174458,-0.0268375399928822,0.0235697094301154,-0.0145794555734107
"SRR8689401",-0.0149060507264129,-0.0324791975326547,-0.0359920503140718,-0.0135647600494365,-0.0178274986531461,-0.0137318481274183,-0.0362031448717899,0.0156528969126509,-0.0141058493252903,-0.0605604937212074,-0.0282226696273828,-0.0667740016228738,-0.0601530184848326,0.0200213633727387,-0.0248004889373499,-0.116738553434926,-0.119310258175034,-0.043737428953245,-0.0753909079575812,-0.107664598471339,-0.0209591309937713,-0.0168953366108975,0.0796797658375246,-0.030286715332624,-0.0163096401228739,-0.0193570749545796,-0.0171072188384412,-0.0641385386431136,-0.00500312636803349,-0.0544636147550184,-0.00018289289846013,0.0184685328043883,-0.0737559906126206,-0.0174709224868999,0.0302003067693457,0.065657239072584,-0.0235215277234321,-0.0802636196804712,-0.012163292282378,-0.0091215847506337
"SRR8689406",0.00627937520131551,-0.0461310629145272,-0.0403240793792817,-0.0174987109543278,-0.0378172795000705,-0.0134089506204169,-0.0303882395558672,-0.0247322152152855,-0.00381450353734916,-0.0182910652114514,-0.00607410821574496,-0.063749610064031,-0.0477534794087122,0.0119150541142536,0.0110805359230821,-0.149840479977457,-0.168259477459329,0.0143986654318397,-0.0785823875979106,-0.136869177768984,0.00378201832518969,-0.0146902763672921,0.0870314906002629,-0.056193132037446,-0.0138027203658765,-0.0316331957202782,-0.0183654227293154,-0.052718138288147,-0.00793902368549505,-0.0339361422023966,-0.00948850087415027,-0.00321156791383232,-0.117426482910466,-0.0161408049838243,0.0565399436146549,0.0577445490028103,-0.0185988631440252,-0.0739490919065213,-0.00669646853310024,-0.0107446828439188
"SRR8689413",-0.018522445508477,-0.0388277018106416,-0.0425421360381833,-0.0188790159196417,-0.0121787081762854,-0.0129312143428663,-0.0219363279097765,-0.0161022904440279,-0.0180873532467277,-0.0652386886904055,-0.0267590674835175,-0.0774131903772033,-0.0690314736320131,0.0301512587125813,-0.0222160685806105,-0.0989618115859106,-0.0954578290618668,-0.0377152685609771,-0.0838173696457298,-0.0954411576297333,-0.026870426130851,-0.0189379017443509,0.0784691207347802,-0.0529829428340415,-0.0201377697455133,-0.0240230163568127,-0.0200405263933929,-0.0742556142985319,-0.0088533430127524,-0.0524914356764224,-0.00529039927734999,-0.0205099574330874,-0.0752334200158321,-0.0221223481600691,0.0255020930975677,0.0725502016309911,-0.0241245951812609,-0.0664509300272134,-0.026182484686457,-0.0153189707535018
"SRR8800677",-0.0779938367138701,-0.0429807271903503,-0.0514459540110655,-0.0236900325403562,0.154125719499565,-0.0197456945258878,0.124495349948132,-0.0558073924996031,-0.0675699244704001,-0.104224679481698,-0.0242763111061323,-0.143914976471677,-0.132378167666917,-0.074340751862346,-0.0534257843646136,-0.00526507392445809,0.0348329377888,-0.101948496542376,-0.0942775819052345,0.0628506135948487,-0.123499140875144,-0.0205195283004207,-0.0457307870701524,-0.0794370991934941,-0.0242944932942476,-0.032236127216632,-0.0333750824565482,-0.136651324586083,0.0310905031188608,-0.10792461337605,-0.0336997441397849,-0.0235589285034466,-0.0021759969487541,-0.0314594941626414,-0.142145968549479,0.0844027930628857,-0.0332436012391563,0.0400089571953066,-0.181445559166231,-0.0184533406779231
"SRR8800678",-0.0777889449185832,-0.0451569442979393,-0.0514095050089291,-0.0215640912486297,0.156490049867126,-0.0197739768806409,0.127129261172982,-0.0582165049298355,-0.0701593258835375,-0.113219846113751,-0.0239839591520586,-0.145270688366757,-0.140415078233922,-0.109395343005413,-0.0517072614500588,-0.000975254282432729,0.0456184304481776,-0.107998969263829,-0.0960313578689966,0.0618793036212146,-0.124920248509079,-0.0205195283004207,-0.0496079029548832,-0.0828992561464352,-0.0262852351613039,-0.0376674487221381,-0.0349214600507109,-0.140268269657505,0.0389284976165509,-0.106556287304194,-0.0191489941834323,-0.0210896116357247,-0.0113558847065234,-0.0317925169134701,-0.141172462979833,0.0857953331292915,-0.0335477046354837,0.0390222047984599,-0.181272852365533,-0.0161826437787008
"SRR8800679",-0.0747806821115633,-0.0383764329843655,-0.0435969636455644,-0.018810782546358,0.151149970763766,-0.0156985908111354,0.123478729283794,-0.0402496229349905,-0.0666669249225424,-0.10355367798459,-0.0169298906793397,-0.13959729209163,-0.132050288696635,-0.0583179283040309,-0.0492099299912207,-0.00134901814948152,0.0400592958182257,-0.0996203338712996,-0.0896184830441478,0.0643848884314079,-0.119817380163451,-0.0205195283004207,-0.0464145990550135,-0.0697744495636354,-0.0233625728017871,-0.0336125875739661,-0.0314320191507949,-0.133488476605421,0.0378659924590571,-0.102398472751366,-0.0227017732636695,-0.012820223810199,-0.000876315593314708,-0.0262466631911658,-0.136462385431785,0.0823455641517677,-0.0289060206195069,0.0466311081102665,-0.172779892928239,-0.0169167515549163
"SRR8800680",-0.075305099247347,-0.0389349805773507,-0.0444404346670311,-0.0150963263678319,0.154346791564407,-0.017410230349056,0.123719732984453,-0.0507818957211608,-0.0667835817715126,-0.105078143046861,-0.0178867130117243,-0.138214749076789,-0.131161197964647,-0.0612121091183975,-0.0497201843100422,-0.00133591297099143,0.041799978938718,-0.0985923594027509,-0.0944290916663385,0.0630153744740659,-0.12098174664153,-0.0150006076680034,-0.053422794170922,-0.070984616972834,-0.0271402429828359,-0.034115896406353,-0.0303803824982701,-0.133382113796135,0.0383666784819162,-0.105288977939847,-0.0251547537951554,-0.0118658429081219,-0.00331446671804794,-0.0245405308184654,-0.137060579586372,0.0819693170548796,-0.0240027902110415,0.0432743365354364,-0.172846031621414,-0.0168361053892587
"SRR8800681",-0.0728974632884008,-0.039222558521694,-0.0449640318302636,-0.0174491969820753,0.151823207402847,-0.0135098235303383,0.118871264277043,-0.0448182924119923,-0.0649409141319553,-0.105185537365838,-0.0184517791266004,-0.138178429134895,-0.133166835040411,-0.0639813470082056,-0.050709708119665,-0.00163349341590072,0.0363845740582512,-0.100583883826144,-0.0917706556501856,0.0628048924764902,-0.123529219282651,-0.0205195283004207,-0.0452460769990495,-0.071020297033649,-0.0236880217034946,-0.0345422775914279,-0.0303661112063642,-0.137975243924773,0.041561081037881,-0.104266622065755,-0.0313946801297526,-0.0185621574283005,-0.00264683467226535,-0.0258210315787581,-0.13393071195231,0.0818121963088063,-0.026624956185847,0.0463256003030776,-0.171853739912658,-0.018325867590937
"SRR8800682",-0.0667619065444191,-0.0430429212911647,-0.0488630861638883,-0.0245098067830474,0.138058739210982,-0.0187742639091987,0.114658072513821,-0.057439104638094,-0.0575277154024449,-0.0875896441797623,-0.0268847677124835,-0.133311722060371,-0.12158267472073,-0.078161304175734,-0.0510962594104044,-0.00688881107708568,0.03335305590128,-0.0855034537416662,-0.0891570254159144,0.0642663549362117,-0.115026189623157,-0.0205195283004207,-0.0349052180850784,-0.0819800330869586,-0.0248262969486281,-0.0383281031923599,-0.0339534102386218,-0.125933950736066,0.0289758575107627,-0.0962609960764481,-0.031003871149299,-0.0363765034242032,-0.0212894576104365,-0.0322779804123542,-0.125553084437462,0.078240910031471,-0.0247550672667277,0.0430275187533995,-0.164056167668936,-0.0186013873716169
