"","MEblue","MEsalmon","MEroyalblue","MEpink","MEsienna3","MEpaleturquoise","MEplum1","MEdarkred","MEmidnightblue","MEbrown","MEdarkgreen","MEcyan","MEmagenta","MEgreenyellow","MEwhite","MEblack","MEturquoise","MElightsteelblue1","MEgreen","MEorangered4","MEskyblue3","MEgrey"
"SRR3124767",0.0696320733832719,0.0160618787491504,-0.019691133663861,-0.0204573493559842,-0.0367382077490829,0.0918678831834757,0.00081089197571696,-0.069756460169764,-0.0385981835852065,-0.059834384834784,0.00281934453442212,-0.0272150109261321,-0.0127970261407002,-0.0457515275182081,0.0363006877359738,0.0125717750520449,-0.0369830808123221,-0.0490118800357845,-0.0273989069837014,-0.0185452925006467,-0.0244786334563884,-0.0417636849869645
"SRR3124769",0.00233886867735328,0.00312176036338183,-0.0152078579200592,-0.0183215348306772,-0.0356260498404478,-0.0125358373445609,-0.0775871017473598,0.0781324587465511,0.0648563770090723,0.00517087048159015,-0.00359905195810787,-0.0114938100451813,-0.0999565706591952,0.0372389437697816,-0.060798597899091,-0.0999978017100043,-0.0388113570864483,-0.00470271763707363,-0.0201977334026194,-0.0194760942445006,-0.0203968863868121,0.0998002258581024
"SRR3124770",0.0434722261354234,-0.000854298158829551,-0.047604759771899,-0.0298021546177089,-0.037766193128881,0.0789584657745905,-0.0224933087030417,-0.027231026156895,0.00608722900833141,-0.02767583560281,0.0248084047762724,-0.066047611386439,-0.125685422956877,-0.0350266230516951,0.0110389379046459,-0.0254624145878205,-0.0358691063257325,-0.0428421432642534,-0.0245283924723257,-0.0204179135991025,-0.0216823804925026,0.0173415290561093
"SRR3124772",0.05879097588341,0.00165730698528169,-0.0345794636580114,-0.0240864169230484,-0.0313942896759293,0.109734319403928,-0.0222347504778306,-0.0319481332083955,-0.00865004968386034,-0.042187480131004,0.0246376390267581,-0.0416460137665754,-0.0998522460299469,-0.0292273569455683,-0.00212993694747634,-0.01572312747343,-0.0355914202926376,-0.0423441032327411,-0.0249820936588471,-0.0158714690208958,-0.0220403436774733,-0.00990338167380888
"SRR3124775",-0.113304414876242,-0.0581035642041494,0.0111296126657991,-0.0263212961496406,-0.0403981232985301,-0.047276418515138,-0.0704246659254112,0.019424485152107,-0.0703340305600514,0.0342474547850826,-0.00220153913900469,0.0401558226410626,-0.0305854561982619,0.101759901034574,0.145775788497782,0.0790218863864299,0.100386493973548,-0.0137882979886321,-0.0114841600211685,-0.0172848571155409,-0.0132449889340207,-0.0435982958367834
"SRR3124986",-0.124850169040968,-0.0589916952143751,-0.0238695795177107,-0.00896232308048638,-0.0519605238084842,-0.079425305975958,-0.0843550174295594,0.0895040505270248,-0.0357447548965423,0.0576561847663454,-0.0141135812197968,0.0322503047722255,0.0539478340921044,0.155559625441174,0.135262506586575,0.0670058506209768,0.0794861111724053,0.104789330528337,-0.0129981509420829,-0.0093479869085606,-0.0128589644498694,-0.00815449619739315
"SRR3124987",-0.112400835480062,-0.0635030050796827,0.00327314750897629,-0.0177794833612324,-0.0513406348030707,-0.052014702017542,-0.0729041785706335,0.0166487861356375,-0.0635283883841131,0.0423991490666779,0.00530822038333301,0.034662465689596,0.0353403587166615,0.0904199071958683,0.134987362547311,0.0833015518721472,0.0969210105666561,-0.0214500598936699,-0.0109159940536263,-0.0133204663733164,-0.0174383735450461,-0.0244058668477872
"SRR3124990",-0.114916709437048,-0.0594276683469471,-0.0451514240218099,-0.0137088577455627,-0.0561898619707102,-0.0529176255959353,-0.0614628907841798,0.0276885044505069,-0.0816090047001949,0.0318832949226656,-0.00958106366298141,0.0517836028172609,0.0201833207275749,0.136168908810813,0.145770849926664,0.0942757828958854,0.0998043483693907,-0.0200783821277994,-0.00967463405461498,-0.000605444169391473,-0.00539031660903226,-0.0171182303746145
"SRR3124992",-0.129122033751918,-0.0636928024682676,-0.00552150983398942,-0.0252440570328247,-0.0450370545527833,-0.0701596220460161,-0.0874822761070681,0.0925886077968754,-0.0298238230000126,0.061859036119835,-0.00529896168686145,0.0251474078499455,-0.0181025789568909,0.158827451002483,0.12080545572685,0.0536598112562184,0.0872227218223842,0.114624418845046,-0.0122422523632811,-0.00895111345107598,-0.0155789537745355,-0.0391088440927211
"SRR3124994",-0.116157247558385,-0.0566888239792458,0.00942553102712642,-0.00932047161095166,-0.0584798609773351,-0.0618157122298666,-0.0761653532379501,0.0519695614186402,-0.0588534311911454,0.0393836776279566,-0.00255188720964136,0.0275905748641792,0.033708376782704,0.146807727702224,0.149372606544077,0.0796669175014782,0.0836441416609841,-0.0037636452623512,-0.00913386130792957,-0.00781827384308502,-0.0155712267077264,-0.0401058262093307
